,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,69.8549221532749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.61536624975292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.50660485955807,0.0,0.0,0.0,220.89592142848838,211.47271585654653,980.0733150650952,2011.5680307123453,0.0,6.323204021596314,183.5160960749127,14.590984740724082,67.52742367455146,0.0,0.0,0.0,0.0,196.5554151631545,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,65.66065437095409,0.0,0.0,76.8882431102242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.12303935816738,0.0,1.3006286266530862,0.0,0.0,0.0,0.0,0.0,19.396942599653297,0.0,83.6972097313783,0.0,0.0,0.0,0.0,185.7649200111054,991.3250783849644,2226.6586327675614,0.0,28.93019891177,142.88635788160715,0.0,76.45587197217466,0.0,0.0,0.0,0.0,215.4122222737868,0.0
2026-01-01 02:00:00+00:00,0.0,0.0,356.10278760711435,0.0,0.0,77.63032973517846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.418385256213195,0.0,115.12761712899072,0.0,20.042532502218418,0.0,92.41334667652146,0.0,0.0,0.0,0.0,0.0,79.33652377972692,0.0,0.0,0.0,79.00667958833793,130.1595165056545,808.2442094124712,2015.9927048517316,0.0,0.0,93.79569369679713,0.0,73.43531133742206,0.0,0.0,0.0,0.0,181.2943619216226,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,367.0412919842728,0.0,0.0,80.0674713997867,36.57190768602396,0.0,0.0,0.0,0.0,0.0,0.0,65.52623083949744,0.0,97.67199995428982,0.0,22.89964065878731,0.0,103.58289546149253,0.0,0.0,0.0,0.0,15.747800933520397,67.82682263923365,0.0,0.0,0.0,0.0,118.67740334318562,807.9672149065412,2155.7732969077047,0.0,0.0,59.3652710062365,0.0,51.857089616336545,0.0,0.0,0.0,0.0,189.17366266309148,0.0
2026-01-01 04:00:00+00:00,0.0,0.0,215.97174021467907,0.0,0.0,64.15322289920076,125.24581207813242,0.0,0.0,0.0,0.0,0.0,0.0,149.14893035826177,0.0,44.33916053508471,0.0,21.05494303742426,0.0,96.9056986361241,0.0,0.0,0.0,0.0,35.20652510820549,58.53077101468233,0.0,0.0,0.0,0.0,117.46182611752866,793.6894482282396,2144.0139494572813,0.0,0.0,50.679044669927755,0.0,42.67644201501906,0.0,0.0,0.0,0.0,183.42248563020817,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,70.35371777858802,158.35326313987076,0.0,0.0,0.0,0.0,0.0,0.0,262.5853001132168,0.0,21.584681627429475,0.0,0.0,0.0,81.79458300920642,0.0,0.0,0.0,0.0,44.53200996072098,49.246111584283064,0.0,0.0,0.0,0.0,123.4730855355511,739.7442214385771,2243.0774908075887,0.0,0.0,5.3462265724521325,0.0,42.78770290835929,0.0,0.0,25.314815170172157,0.0,171.80679035398347,0.0
2026-01-01 06:00:00+00:00,0.0,0.0,108.07739405182785,0.0,0.0,32.19031040984115,86.33115998211791,0.0,0.0,0.0,0.0,0.0,0.0,280.58171807768923,0.0,6.028362269355897,0.0,0.0,0.0,41.84713112600323,0.0,0.0,0.0,0.0,53.20104614573907,62.76524855319883,0.0,0.0,0.0,4.137859144668594,131.4117597089912,674.6126921119373,2062.5143924227145,0.0,0.0,17.499412208921036,0.0,64.36972454807037,0.0,0.0,0.0,0.0,158.43178923892393,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,47.565213173110024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.2837978141892,0.0,9.559341439313874,51.34809786234282,0.0,67.18773598514889,0.0,0.0,0.0,0.0,0.0,71.11768746575571,36.27647520560129,0.0,0.0,0.0,187.96770013064477,137.28684974768424,694.4303246546109,2003.3411086383348,0.0,0.0,119.41823459573608,0.0,89.32945846424337,0.0,0.0,2.941335827481184,0.0,171.19663899580297,0.0
2026-01-01 08:00:00+00:00,6.194923564241897,0.0,223.6843547548912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.8591483542425,0.0,10.900315568647557,102.59944308307729,0.0,108.52446862109242,0.0,0.0,0.0,0.0,0.0,66.63171177667327,1.4793467286578381,0.0,0.0,0.0,0.0,138.64101441552447,667.1038959752617,1817.885424611185,0.0,0.0,150.86535803735978,0.0,131.76625337012658,0.0,0.0,26.633333531430416,0.0,80.23100760758818,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,488.3256620289599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.80080472613986,0.0,20.796547622642912,118.02551358207668,0.0,83.24722562300066,0.0,0.0,0.0,0.0,0.0,85.68393590997474,0.0,0.0,0.0,0.0,121.64536643613646,124.78163324095091,619.8446348880376,1658.5499085855265,0.0,0.0,149.45860678302358,0.0,174.161402881124,0.0,0.0,19.20259166420804,0.0,53.47616602819794,0.0
