,NO_4_SE_2,SE_2_NO_4,NO_4_NO_3,NO_3_NO_4,NO_4_SE_1,SE_1_NO_4,NO_4_SE_2_net_export,NO_4_NO_3_net_export,NO_4_SE_1_net_export,Net Export
2026-01-01 00:00:00+00:00,2.35,0.0,1726.0,154.1,84.25,0.0,2.35,1571.9,84.25,1658.5
2026-01-01 01:00:00+00:00,20.9,0.0,469.55,497.35,5.8,0.0,20.9,-27.80000000000001,5.8,-1.100000000000013
2026-01-01 02:00:00+00:00,0.0,2526.925,3457.9,272.275,0.0,0.0,-2526.925,3185.625,0.0,658.6999999999998
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,1166.575,1.25,0.0,0.0,-1166.575,1.25,-1165.325
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,1230.35,0.275,0.0,0.0,-1230.35,0.275,-1230.0749999999998
2026-01-01 05:00:00+00:00,0.0,271.75,548.625,278.05,0.0,0.0,-271.75,270.575,0.0,-1.1750000000000114
2026-01-01 06:00:00+00:00,0.0,228.975,547.85,455.725,174.825,0.0,-228.975,92.125,174.825,37.974999999999994
2026-01-01 07:00:00+00:00,0.0,0.0,1725.45,0.0,0.0,0.0,0.0,1725.45,0.0,1725.45
2026-01-01 08:00:00+00:00,0.875,152.325,0.0,0.0,0.0,0.0,-151.45,0.0,0.0,-151.45
2026-01-01 09:00:00+00:00,0.0,74.0,1280.975,87.375,175.875,0.0,-74.0,1193.6,175.875,1295.475
2026-01-01 10:00:00+00:00,0.075,6.075,1359.775,0.0,151.6,0.0,-6.0,1359.775,151.6,1505.375
2026-01-01 11:00:00+00:00,18.0,0.0,1312.475,0.075,140.325,0.0,18.0,1312.3999999999999,140.325,1470.725
2026-01-01 12:00:00+00:00,0.0,0.0,1350.675,0.0,0.0,0.0,0.0,1350.675,0.0,1350.675
2026-01-01 13:00:00+00:00,3.0,0.0,663.5,0.0,80.175,0.0,3.0,663.5,80.175,746.675
2026-01-01 14:00:00+00:00,0.0,0.0,1912.175,0.0,2.425,0.0,0.0,1912.175,2.425,1914.6
2026-01-01 15:00:00+00:00,7.325,0.0,637.6,0.0,7.275,0.0,7.325,637.6,7.275,652.2
2026-01-01 16:00:00+00:00,30.7,0.0,0.05,0.0,13.075,0.0,30.7,0.05,13.075,43.825
2026-01-01 17:00:00+00:00,0.0,0.0,1261.225,0.0,4.525,0.0,0.0,1261.225,4.525,1265.75
2026-01-01 18:00:00+00:00,186.775,0.0,579.575,0.0,2.75,0.0,186.775,579.575,2.75,769.1
2026-01-01 19:00:00+00:00,191.15,0.0,363.7,0.0,0.0,196.675,191.15,363.7,-196.675,358.175
2026-01-01 20:00:00+00:00,202.575,728.5,1690.975,0.0,0.0,678.7,-525.925,1690.975,-678.7,486.3499999999999
2026-01-01 21:00:00+00:00,132.8,863.1,1238.925,0.0,1.5,176.35,-730.3,1238.925,-174.85,333.775
2026-01-01 22:00:00+00:00,3.375,0.0,1314.8,0.0,3.0,561.375,3.375,1314.8,-558.375,759.8
2026-01-01 23:00:00+00:00,0.0,38.8,38.15,0.0,0.0,211.45,-38.8,38.15,-211.45,-212.1
2026-01-02 00:00:00+00:00,0.95,52.65,79.85,0.0,0.0,337.45,-51.699999999999996,79.85,-337.45,-309.3
2026-01-02 01:00:00+00:00,0.0,234.1,0.025,0.0,0.0,141.325,-234.1,0.025,-141.325,-375.4
2026-01-02 02:00:00+00:00,0.0,244.275,0.025,0.0,0.0,145.8,-244.275,0.025,-145.8,-390.05
2026-01-02 03:00:00+00:00,0.45,4.175,91.05,0.0,0.0,454.225,-3.7249999999999996,91.05,-454.225,-366.90000000000003
2026-01-02 04:00:00+00:00,0.7,0.0,156.075,0.0,2.5,317.0,0.7,156.075,-314.5,-157.72500000000002
2026-01-02 05:00:00+00:00,11.375,0.0,534.6,0.0,0.0,687.525,11.375,534.6,-687.525,-141.54999999999995
2026-01-02 06:00:00+00:00,14.85,0.0,461.85,0.0,0.0,670.7,14.85,461.85,-670.7,-194.0
2026-01-02 07:00:00+00:00,2.45,0.0,563.35,0.0,0.0,523.325,2.45,563.35,-523.325,42.47500000000002
2026-01-02 08:00:00+00:00,0.0,0.0,722.7,0.0,0.0,384.575,0.0,722.7,-384.575,338.12500000000006
2026-01-02 09:00:00+00:00,0.0,0.0,939.075,0.0,0.0,429.75,0.0,939.075,-429.75,509.32500000000005
2026-01-02 10:00:00+00:00,0.0,0.0,936.2,0.0,0.0,443.8,0.0,936.2,-443.8,492.40000000000003
2026-01-02 11:00:00+00:00,9.3,0.0,920.625,0.0,0.0,459.85,9.3,920.625,-459.85,470.07499999999993
2026-01-02 12:00:00+00:00,8.9,0.0,933.775,0.0,0.0,471.775,8.9,933.775,-471.775,470.9
2026-01-02 13:00:00+00:00,0.3,0.0,832.525,0.0,0.0,431.5,0.3,832.525,-431.5,401.32499999999993
2026-01-02 14:00:00+00:00,2.75,0.0,1039.525,0.0,0.0,535.375,2.75,1039.525,-535.375,506.9000000000001
2026-01-02 15:00:00+00:00,1.625,0.0,1108.05,0.0,0.0,562.2,1.625,1108.05,-562.2,547.4749999999999
2026-01-02 16:00:00+00:00,1.825,0.0,1073.9,0.0,0.0,533.5,1.825,1073.9,-533.5,542.2250000000001
2026-01-02 17:00:00+00:00,1.125,0.0,1072.225,0.0,0.0,529.675,1.125,1072.225,-529.675,543.675
2026-01-02 18:00:00+00:00,4.45,0.0,1009.725,0.0,0.0,496.125,4.45,1009.725,-496.125,518.0500000000001
2026-01-02 19:00:00+00:00,5.525,0.0,1007.325,0.0,0.0,522.15,5.525,1007.325,-522.15,490.70000000000005
2026-01-02 20:00:00+00:00,3.175,0.0,983.75,0.0,0.0,508.45,3.175,983.75,-508.45,478.47499999999997
2026-01-02 21:00:00+00:00,4.575,0.0,584.15,0.0,0.0,550.2,4.575,584.15,-550.2,38.52499999999998
2026-01-02 22:00:00+00:00,27.0,0.0,282.425,0.0,0.0,616.6,27.0,282.425,-616.6,-307.175
2026-01-02 23:00:00+00:00,21.4,0.0,1235.95,0.0,0.0,622.5,21.4,1235.95,-622.5,634.8500000000001
2026-01-03 00:00:00+00:00,2.725,0.0,1221.275,0.0,0.0,563.45,2.725,1221.275,-563.45,660.55
2026-01-03 01:00:00+00:00,0.0,0.0,1155.125,0.0,0.0,581.85,0.0,1155.125,-581.85,573.275
2026-01-03 02:00:00+00:00,0.1,0.0,1118.475,0.0,0.0,557.675,0.1,1118.475,-557.675,560.8999999999999
2026-01-03 03:00:00+00:00,1.2,0.0,1138.05,0.0,0.0,536.05,1.2,1138.05,-536.05,603.2
2026-01-03 04:00:00+00:00,1.15,0.0,1292.35,0.0,0.0,562.275,1.15,1292.35,-562.275,731.225
2026-01-03 05:00:00+00:00,10.55,0.0,1336.1,0.0,0.0,557.075,10.55,1336.1,-557.075,789.5749999999998
2026-01-03 06:00:00+00:00,20.075,0.0,1389.4,0.0,0.0,478.225,20.075,1389.4,-478.225,931.2500000000001
2026-01-03 07:00:00+00:00,0.0,0.225,1365.325,0.0,0.0,481.325,-0.225,1365.325,-481.325,883.7750000000001
2026-01-03 08:00:00+00:00,0.0,0.0,1319.4,0.0,0.0,503.525,0.0,1319.4,-503.525,815.8750000000001
2026-01-03 09:00:00+00:00,0.0,0.025,1290.175,0.0,0.0,497.95,-0.025,1290.175,-497.95,792.1999999999998
2026-01-03 10:00:00+00:00,0.0,0.075,1287.45,0.0,0.0,443.825,-0.075,1287.45,-443.825,843.55
2026-01-03 11:00:00+00:00,0.875,0.0,1314.975,0.0,0.0,472.1,0.875,1314.975,-472.1,843.7499999999999
2026-01-03 12:00:00+00:00,0.0,0.05,1307.075,0.0,0.0,461.1,-0.05,1307.075,-461.1,845.9250000000001
2026-01-03 13:00:00+00:00,1.25,0.0,1310.0,0.0,0.0,446.35,1.25,1310.0,-446.35,864.9
2026-01-03 14:00:00+00:00,5.55,0.0,1288.175,0.0,0.0,429.05,5.55,1288.175,-429.05,864.675
2026-01-03 15:00:00+00:00,9.75,0.0,1305.325,0.0,0.0,445.525,9.75,1305.325,-445.525,869.5500000000001
2026-01-03 16:00:00+00:00,2.875,0.0,1306.75,0.0,0.0,486.85,2.875,1306.75,-486.85,822.775
2026-01-03 17:00:00+00:00,9.75,0.0,1297.125,0.0,0.0,425.9,9.75,1297.125,-425.9,880.975
2026-01-03 18:00:00+00:00,7.5,0.0,1329.65,0.0,0.0,446.8,7.5,1329.65,-446.8,890.3500000000001
2026-01-03 19:00:00+00:00,0.0,0.0,1369.25,0.0,0.0,493.5,0.0,1369.25,-493.5,875.75
2026-01-03 20:00:00+00:00,5.025,0.1,1315.15,0.0,0.0,425.35,4.925000000000001,1315.15,-425.35,894.725
2026-01-03 21:00:00+00:00,4.125,0.0,1313.175,0.0,0.0,413.6,4.125,1313.175,-413.6,903.6999999999999
2026-01-03 22:00:00+00:00,0.0,0.25,1293.95,0.0,0.0,397.475,-0.25,1293.95,-397.475,896.225
2026-01-03 23:00:00+00:00,0.075,0.05,1098.875,0.0,0.0,295.3,0.024999999999999994,1098.875,-295.3,803.6000000000001
2026-01-04 00:00:00+00:00,0.0,4.2,1101.05,0.0,0.0,281.125,-4.2,1101.05,-281.125,815.7249999999999
2026-01-04 01:00:00+00:00,0.0,4.825,1070.575,0.0,0.0,228.825,-4.825,1070.575,-228.825,836.925
2026-01-04 02:00:00+00:00,0.0,1.2,1076.85,0.0,0.0,228.925,-1.2,1076.85,-228.925,846.7249999999999
2026-01-04 03:00:00+00:00,0.0,4.725,1053.275,0.0,0.0,201.55,-4.725,1053.275,-201.55,847.0000000000002
2026-01-04 04:00:00+00:00,0.0,3.3,988.75,0.0,0.0,144.55,-3.3,988.75,-144.55,840.9000000000001
2026-01-04 05:00:00+00:00,0.45,1.975,1077.475,0.0,0.0,246.325,-1.5250000000000001,1077.475,-246.325,829.6249999999998
2026-01-04 06:00:00+00:00,0.275,0.175,935.15,0.0,0.05,94.975,0.10000000000000003,935.15,-94.925,840.325
2026-01-04 07:00:00+00:00,386.5,0.0,459.7,0.0,0.225,2.25,386.5,459.7,-2.025,844.1750000000001
2026-01-04 08:00:00+00:00,449.3,0.0,367.225,0.0,1.425,5.5,449.3,367.225,-4.075,812.45
2026-01-04 09:00:00+00:00,376.325,0.0,418.15,0.0,2.625,0.0,376.325,418.15,2.625,797.0999999999999
2026-01-04 10:00:00+00:00,315.175,0.0,459.625,0.0,3.625,0.0,315.175,459.625,3.625,778.425
2026-01-04 11:00:00+00:00,245.9,0.0,527.15,0.0,0.05,0.0,245.9,527.15,0.05,773.0999999999999
2026-01-04 12:00:00+00:00,207.025,0.0,498.225,0.0,32.625,0.0,207.025,498.225,32.625,737.875
2026-01-04 13:00:00+00:00,204.625,0.0,539.0,0.0,3.3,0.0,204.625,539.0,3.3,746.925
2026-01-04 14:00:00+00:00,128.3,0.0,584.05,0.0,6.375,0.0,128.3,584.05,6.375,718.7249999999999
2026-01-04 15:00:00+00:00,159.025,0.0,590.025,0.0,6.35,0.0,159.025,590.025,6.35,755.4
2026-01-04 16:00:00+00:00,210.975,0.0,595.75,0.0,7.025,0.0,210.975,595.75,7.025,813.75
2026-01-04 17:00:00+00:00,231.95,0.0,603.85,0.0,0.25,0.125,231.95,603.85,0.125,835.925
2026-01-04 18:00:00+00:00,295.525,0.0,556.875,0.0,1.35,0.0,295.525,556.875,1.35,853.75
2026-01-04 19:00:00+00:00,345.225,0.0,531.325,0.0,0.55,0.025,345.225,531.325,0.525,877.075
2026-01-04 20:00:00+00:00,272.675,0.0,595.775,0.0,0.15,0.025,272.675,595.775,0.125,868.575
2026-01-04 21:00:00+00:00,259.675,0.0,606.875,0.0,0.0,0.075,259.675,606.875,-0.075,866.4749999999999
2026-01-04 22:00:00+00:00,303.55,0.0,602.6,0.0,0.175,0.0,303.55,602.6,0.175,906.325
2026-01-04 23:00:00+00:00,541.2,0.0,429.125,0.0,0.1,0.0,541.2,429.125,0.1,970.4250000000001
2026-01-05 00:00:00+00:00,574.1,0.0,397.875,0.0,0.0,0.075,574.1,397.875,-0.075,971.9
2026-01-05 01:00:00+00:00,561.95,0.0,425.575,0.0,0.0,0.125,561.95,425.575,-0.125,987.4000000000001
2026-01-05 02:00:00+00:00,533.0,0.0,461.95,0.0,0.025,0.025,533.0,461.95,0.0,994.95
2026-01-05 03:00:00+00:00,467.925,0.0,507.175,0.0,20.225,0.0,467.925,507.175,20.225,995.325
2026-01-05 04:00:00+00:00,294.05,0.0,638.15,0.0,27.1,0.0,294.05,638.15,27.1,959.3000000000001
2026-01-05 05:00:00+00:00,81.075,0.0,758.825,0.0,0.175,0.0,81.075,758.825,0.175,840.075
2026-01-05 06:00:00+00:00,51.175,0.0,770.4,0.0,0.5,0.0,51.175,770.4,0.5,822.0749999999999
2026-01-05 07:00:00+00:00,12.15,0.075,750.125,0.0,0.0,0.05,12.075000000000001,750.125,-0.05,762.1500000000001
2026-01-05 08:00:00+00:00,0.0,0.075,709.125,0.0,0.0,0.225,-0.075,709.125,-0.225,708.8249999999999
2026-01-05 09:00:00+00:00,0.0,0.05,655.525,0.0,0.0,0.25,-0.05,655.525,-0.25,655.225
2026-01-05 10:00:00+00:00,0.0,0.0,607.775,0.0,0.0,0.3,0.0,607.775,-0.3,607.475
2026-01-05 11:00:00+00:00,0.075,0.0,586.25,0.0,0.55,0.225,0.075,586.25,0.32500000000000007,586.6500000000001
2026-01-05 12:00:00+00:00,5.925,0.0,589.025,0.0,0.0,0.125,5.925,589.025,-0.125,594.8249999999999
2026-01-05 13:00:00+00:00,4.525,0.0,630.9,0.0,4.1,0.0,4.525,630.9,4.1,639.525
2026-01-05 14:00:00+00:00,1.9,0.0,626.425,0.0,0.025,0.225,1.9,626.425,-0.2,628.1249999999999
2026-01-05 15:00:00+00:00,0.0,20.45,742.025,0.0,0.0,11.2,-20.45,742.025,-11.2,710.3749999999999
2026-01-05 16:00:00+00:00,0.025,8.4,784.3,0.0,0.0,17.1,-8.375,784.3,-17.1,758.8249999999999
2026-01-05 17:00:00+00:00,0.0,45.1,771.525,0.0,0.0,9.0,-45.1,771.525,-9.0,717.425
2026-01-05 18:00:00+00:00,0.0,16.0,698.1,0.0,0.0,12.15,-16.0,698.1,-12.15,669.95
2026-01-05 19:00:00+00:00,0.0,3.15,690.175,0.0,0.0,2.45,-3.15,690.175,-2.45,684.5749999999999
2026-01-05 20:00:00+00:00,0.0,9.6,712.75,0.0,0.0,17.8,-9.6,712.75,-17.8,685.35
2026-01-05 21:00:00+00:00,0.0,8.875,768.375,0.0,0.0,7.2,-8.875,768.375,-7.2,752.3
2026-01-05 22:00:00+00:00,12.55,4.85,819.925,0.0,0.0,8.875,7.700000000000001,819.925,-8.875,818.75
2026-01-05 23:00:00+00:00,476.225,0.0,505.25,0.0,0.0,0.0,476.225,505.25,0.0,981.475
2026-01-06 00:00:00+00:00,603.35,0.0,416.675,0.0,0.0,0.0,603.35,416.675,0.0,1020.0250000000001
2026-01-06 01:00:00+00:00,566.175,0.0,475.25,0.0,0.0,5.4,566.175,475.25,-5.4,1036.0249999999999
2026-01-06 02:00:00+00:00,545.175,0.0,468.525,0.0,0.0,6.3,545.175,468.525,-6.3,1007.4
2026-01-06 03:00:00+00:00,499.25,0.0,534.875,0.0,0.0,0.0,499.25,534.875,0.0,1034.125
2026-01-06 04:00:00+00:00,492.7,0.0,556.825,0.0,0.0,0.0,492.7,556.825,0.0,1049.525
2026-01-06 05:00:00+00:00,476.175,0.0,541.375,0.0,0.0,0.0,476.175,541.375,0.0,1017.55
2026-01-06 06:00:00+00:00,291.05,0.0,697.95,0.0,0.0,3.45,291.05,697.95,-3.45,985.55
2026-01-06 07:00:00+00:00,222.225,0.0,789.525,0.0,0.0,0.625,222.225,789.525,-0.625,1011.125
2026-01-06 08:00:00+00:00,105.3,0.0,882.325,0.0,0.0,23.825,105.3,882.325,-23.825,963.8
2026-01-06 09:00:00+00:00,163.525,0.0,881.1,0.0,0.0,49.225,163.525,881.1,-49.225,995.4
2026-01-06 10:00:00+00:00,158.575,0.0,857.075,0.0,0.0,32.875,158.575,857.075,-32.875,982.7750000000001
2026-01-06 11:00:00+00:00,254.975,0.0,734.075,0.0,0.0,1.5,254.975,734.075,-1.5,987.5500000000001
2026-01-06 12:00:00+00:00,322.675,0.0,742.775,0.0,0.0,65.45,322.675,742.775,-65.45,1000.0
2026-01-06 13:00:00+00:00,353.825,0.0,659.15,0.0,0.0,0.825,353.825,659.15,-0.825,1012.1499999999999
2026-01-06 14:00:00+00:00,343.975,0.0,670.225,0.0,0.0,12.3,343.975,670.225,-12.3,1001.9000000000001
2026-01-06 15:00:00+00:00,407.525,0.0,632.625,0.0,0.0,8.075,407.525,632.625,-8.075,1032.075
2026-01-06 16:00:00+00:00,468.3,0.0,562.95,0.0,0.45,0.0,468.3,562.95,0.45,1031.7
2026-01-06 17:00:00+00:00,483.6,0.0,484.575,0.0,7.15,0.0,483.6,484.575,7.15,975.3249999999999
2026-01-06 18:00:00+00:00,578.3,0.0,404.525,0.0,7.9,0.0,578.3,404.525,7.9,990.7249999999999
2026-01-06 19:00:00+00:00,615.75,0.0,348.825,0.0,5.0,0.0,615.75,348.825,5.0,969.575
2026-01-06 20:00:00+00:00,591.85,0.0,413.975,0.0,0.925,0.0,591.85,413.975,0.925,1006.75
2026-01-06 21:00:00+00:00,485.825,0.0,469.25,0.0,2.325,0.0,485.825,469.25,2.325,957.4000000000001
2026-01-06 22:00:00+00:00,503.95,0.0,511.3,0.0,0.0,0.0,503.95,511.3,0.0,1015.25
2026-01-06 23:00:00+00:00,251.2,0.0,823.15,0.0,1.5,0.0,251.2,823.15,1.5,1075.85
2026-01-07 00:00:00+00:00,294.3,0.0,801.8,0.0,0.0,0.0,294.3,801.8,0.0,1096.1
2026-01-07 01:00:00+00:00,336.475,0.0,702.675,0.0,0.1,0.0,336.475,702.675,0.1,1039.25
2026-01-07 02:00:00+00:00,262.775,0.0,872.9,0.0,0.0,0.0,262.775,872.9,0.0,1135.675
2026-01-07 03:00:00+00:00,200.825,0.0,912.6,0.0,0.0,0.0,200.825,912.6,0.0,1113.425
2026-01-07 04:00:00+00:00,0.0,0.0,1015.825,0.0,0.0,0.0,0.0,1015.825,0.0,1015.825
2026-01-07 05:00:00+00:00,229.275,0.0,824.375,0.0,0.0,0.075,229.275,824.375,-0.075,1053.575
2026-01-07 06:00:00+00:00,87.85,0.0,855.15,0.0,0.0,0.1,87.85,855.15,-0.1,942.9
2026-01-07 07:00:00+00:00,120.25,0.0,838.85,0.0,0.0,0.1,120.25,838.85,-0.1,959.0
2026-01-07 08:00:00+00:00,83.625,0.0,844.7,0.0,0.0,0.1,83.625,844.7,-0.1,928.225
2026-01-07 09:00:00+00:00,26.625,0.0,913.65,0.0,0.0,22.625,26.625,913.65,-22.625,917.65
2026-01-07 10:00:00+00:00,0.0,0.025,959.55,0.0,0.0,63.35,-0.025,959.55,-63.35,896.175
2026-01-07 11:00:00+00:00,0.0,0.025,924.475,0.0,0.0,86.475,-0.025,924.475,-86.475,837.975
2026-01-07 12:00:00+00:00,0.0,0.0,889.975,0.0,0.0,70.75,0.0,889.975,-70.75,819.225
2026-01-07 13:00:00+00:00,0.0,0.05,885.775,0.0,0.0,62.3,-0.05,885.775,-62.3,823.4250000000001
2026-01-07 14:00:00+00:00,0.0,0.05,908.85,0.0,0.0,0.8,-0.05,908.85,-0.8,908.0000000000001
2026-01-07 15:00:00+00:00,93.575,0.0,821.425,0.0,0.0,0.025,93.575,821.425,-0.025,914.975
2026-01-07 16:00:00+00:00,138.85,0.0,765.775,0.0,0.0,0.075,138.85,765.775,-0.075,904.55
2026-01-07 17:00:00+00:00,173.275,0.0,733.975,0.0,0.0,0.1,173.275,733.975,-0.1,907.15
2026-01-07 18:00:00+00:00,156.1,0.0,750.625,0.0,0.0,0.075,156.1,750.625,-0.075,906.65
2026-01-07 19:00:00+00:00,116.95,0.0,798.5,0.0,0.0,0.025,116.95,798.5,-0.025,915.4250000000001
2026-01-07 20:00:00+00:00,215.75,0.0,784.75,0.0,0.0,0.025,215.75,784.75,-0.025,1000.475
2026-01-07 21:00:00+00:00,253.5,0.0,770.375,0.0,0.0,0.0,253.5,770.375,0.0,1023.875
2026-01-07 22:00:00+00:00,251.5,0.0,749.425,0.0,0.0,0.125,251.5,749.425,-0.125,1000.8
2026-01-07 23:00:00+00:00,0.0,0.175,857.05,0.0,0.0,0.15,-0.175,857.05,-0.15,856.725
2026-01-08 00:00:00+00:00,0.0,0.15,866.75,0.0,0.0,0.125,-0.15,866.75,-0.125,866.475
2026-01-08 01:00:00+00:00,0.0,6.9,917.1,0.0,0.0,1.65,-6.9,917.1,-1.65,908.5500000000001
2026-01-08 02:00:00+00:00,0.0,0.125,901.05,0.0,0.0,0.075,-0.125,901.05,-0.075,900.8499999999999
2026-01-08 03:00:00+00:00,0.0,0.025,867.6,0.0,0.025,0.025,-0.025,867.6,0.0,867.575
2026-01-08 04:00:00+00:00,0.0,0.0,864.05,0.0,0.0,0.0,0.0,864.05,0.0,864.05
2026-01-08 05:00:00+00:00,0.0,0.0,798.625,0.0,0.0,0.075,0.0,798.625,-0.075,798.55
2026-01-08 06:00:00+00:00,3.375,0.0,916.95,0.0,0.8,0.0,3.375,916.95,0.8,921.125
2026-01-08 07:00:00+00:00,78.75,0.0,857.625,0.0,0.575,0.0,78.75,857.625,0.575,936.95
2026-01-08 08:00:00+00:00,173.225,0.0,814.975,0.0,0.675,0.0,173.225,814.975,0.675,988.875
2026-01-08 09:00:00+00:00,110.2,0.0,891.4,0.0,0.025,0.0,110.2,891.4,0.025,1001.625
2026-01-08 10:00:00+00:00,41.925,0.0,963.725,0.0,0.0,0.0,41.925,963.725,0.0,1005.65
2026-01-08 11:00:00+00:00,0.0,0.0,920.625,0.0,0.225,0.0,0.0,920.625,0.225,920.85
2026-01-08 12:00:00+00:00,0.0,0.0,968.5,0.0,0.0,0.0,0.0,968.5,0.0,968.5
2026-01-08 13:00:00+00:00,0.0,0.0,955.55,0.0,0.0,0.0,0.0,955.55,0.0,955.55
2026-01-08 14:00:00+00:00,0.0,0.0,906.4,0.0,0.0,0.0,0.0,906.4,0.0,906.4
2026-01-08 15:00:00+00:00,0.0,0.0,944.175,0.0,0.0,0.0,0.0,944.175,0.0,944.175
2026-01-08 16:00:00+00:00,0.0,0.0,1052.6,0.0,0.0,0.0,0.0,1052.6,0.0,1052.6
2026-01-08 17:00:00+00:00,0.0,0.0,1128.725,0.0,0.0,0.0,0.0,1128.725,0.0,1128.725
2026-01-08 18:00:00+00:00,0.0,0.0,1047.625,0.0,0.0,0.0,0.0,1047.625,0.0,1047.625
2026-01-08 19:00:00+00:00,0.0,0.0,1050.35,0.0,0.0,0.0,0.0,1050.35,0.0,1050.35
2026-01-08 20:00:00+00:00,0.0,0.0,1024.05,0.0,0.0,0.025,0.0,1024.05,-0.025,1024.0249999999999
2026-01-08 21:00:00+00:00,0.0,0.0,1081.35,0.0,0.0,0.0,0.0,1081.35,0.0,1081.35
2026-01-08 22:00:00+00:00,0.0,0.15,1127.075,0.0,0.0,0.0,-0.15,1127.075,0.0,1126.925
2026-01-08 23:00:00+00:00,13.875,0.0,1160.775,0.0,0.0,41.575,13.875,1160.775,-41.575,1133.075
2026-01-09 00:00:00+00:00,21.475,0.0,1149.0,0.0,0.0,32.775,21.475,1149.0,-32.775,1137.6999999999998
2026-01-09 01:00:00+00:00,1.9,0.0,1163.825,0.0,0.0,56.35,1.9,1163.825,-56.35,1109.3750000000002
2026-01-09 02:00:00+00:00,0.2,0.0,1173.45,0.0,0.0,132.825,0.2,1173.45,-132.825,1040.825
2026-01-09 03:00:00+00:00,1.475,0.0,1223.325,0.0,0.0,112.675,1.475,1223.325,-112.675,1112.125
2026-01-09 04:00:00+00:00,2.025,0.0,1261.425,0.0,0.0,134.0,2.025,1261.425,-134.0,1129.45
2026-01-09 05:00:00+00:00,459.6,0.0,764.925,0.0,0.0,3.525,459.6,764.925,-3.525,1221.0
2026-01-09 06:00:00+00:00,634.275,0.0,638.325,0.0,0.0,0.0,634.275,638.325,0.0,1272.6
2026-01-09 07:00:00+00:00,628.025,0.0,621.075,0.0,0.0,0.0,628.025,621.075,0.0,1249.1
2026-01-09 08:00:00+00:00,2.9,0.0,1025.85,0.0,0.0,24.15,2.9,1025.85,-24.15,1004.6
2026-01-09 09:00:00+00:00,0.0,0.0,1040.4,0.0,0.0,77.225,0.0,1040.4,-77.225,963.1750000000001
2026-01-09 10:00:00+00:00,0.0,0.05,1165.125,0.0,0.0,97.925,-0.05,1165.125,-97.925,1067.15
2026-01-09 11:00:00+00:00,0.0,0.075,1172.75,0.0,0.0,74.95,-0.075,1172.75,-74.95,1097.725
2026-01-09 12:00:00+00:00,0.0,0.05,1207.075,0.0,0.0,89.975,-0.05,1207.075,-89.975,1117.0500000000002
2026-01-09 13:00:00+00:00,1.7,0.0,1275.25,0.0,0.0,237.025,1.7,1275.25,-237.025,1039.925
2026-01-09 14:00:00+00:00,0.0,0.0,1168.4,0.0,0.0,178.475,0.0,1168.4,-178.475,989.9250000000001
2026-01-09 15:00:00+00:00,0.0,0.0,1072.825,0.0,0.0,85.85,0.0,1072.825,-85.85,986.975
2026-01-09 16:00:00+00:00,298.475,0.0,674.725,0.0,0.0,0.0,298.475,674.725,0.0,973.2
2026-01-09 17:00:00+00:00,402.725,0.0,578.625,0.0,0.0,0.0,402.725,578.625,0.0,981.35
2026-01-09 18:00:00+00:00,145.15,0.0,839.875,0.0,0.0,0.0,145.15,839.875,0.0,985.025
2026-01-09 19:00:00+00:00,3.75,0.0,1179.125,0.0,0.0,159.925,3.75,1179.125,-159.925,1022.95
2026-01-09 20:00:00+00:00,1.225,0.075,1217.7,0.0,0.0,168.325,1.1500000000000001,1217.7,-168.325,1050.525
2026-01-09 21:00:00+00:00,3.725,0.0,1174.925,0.0,0.0,199.875,3.725,1174.925,-199.875,978.7749999999999
2026-01-09 22:00:00+00:00,2.45,0.0,1094.55,0.0,0.0,148.575,2.45,1094.55,-148.575,948.425
2026-01-09 23:00:00+00:00,0.0,0.0,1040.875,0.0,0.0,29.15,0.0,1040.875,-29.15,1011.725
2026-01-10 00:00:00+00:00,0.0,0.0,1017.05,0.0,0.0,2.3,0.0,1017.05,-2.3,1014.75
2026-01-10 01:00:00+00:00,0.125,0.0,1032.5,0.0,0.0,55.175,0.125,1032.5,-55.175,977.45
2026-01-10 02:00:00+00:00,5.0,0.0,1098.75,0.0,0.0,158.55,5.0,1098.75,-158.55,945.2
2026-01-10 03:00:00+00:00,4.7,0.0,1106.825,0.0,0.0,137.45,4.7,1106.825,-137.45,974.075
2026-01-10 04:00:00+00:00,0.1,0.0,1129.45,0.0,0.0,124.2,0.1,1129.45,-124.2,1005.3499999999999
2026-01-10 05:00:00+00:00,3.7,0.0,1176.325,0.0,0.0,125.125,3.7,1176.325,-125.125,1054.9
2026-01-10 06:00:00+00:00,5.1,0.0,1240.95,0.0,0.0,148.05,5.1,1240.95,-148.05,1098.0
2026-01-10 07:00:00+00:00,124.275,0.0,973.825,0.0,2.65,48.75,124.275,973.825,-46.1,1052.0000000000002
2026-01-10 08:00:00+00:00,324.925,0.0,691.025,0.0,5.275,0.0,324.925,691.025,5.275,1021.225
2026-01-10 09:00:00+00:00,446.975,0.0,586.175,0.0,1.675,0.0,446.975,586.175,1.675,1034.825
2026-01-10 10:00:00+00:00,355.0,0.0,630.925,0.0,4.525,0.0,355.0,630.925,4.525,990.4499999999999
2026-01-10 11:00:00+00:00,389.05,0.0,557.0,0.0,5.55,0.0,389.05,557.0,5.55,951.5999999999999
2026-01-10 12:00:00+00:00,376.8,0.0,545.425,0.0,4.15,0.0,376.8,545.425,4.15,926.3749999999999
